league,season,game,team,minute,score,player1,player2,event_type
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,10,0:2,Benjamin Pavard,,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,29,0:3,Sadio Mané,Serge Gnabry,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,35,0:4,Jamal Musiala,Thomas Müller,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,43,0:5,Serge Gnabry,Thomas Müller,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,46,0:5,Christopher Lenz,Jesper Lindstrøm,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,46,0:5,Randal Kolo Muani,Rafael Borré,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,46,0:5,Kristijan Jakić,Sebastian Rode,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,5,0:1,Joshua Kimmich,,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,57,0:5,Ryan Gravenberch,Marcel Sabitzer,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,59,0:5,Obite N'Dicka,,yellow_card
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,64,1:5,Randal Kolo Muani,,goal
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,65,1:5,Mathys Tel,Serge Gnabry,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,65,1:5,Leroy Sané,Thomas Müller,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,71,1:5,Filip Kostić,,yellow_card
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,75,1:5,Faride Alidou,Filip Kostić,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Eintracht Frankfurt,82,1:5,Makoto Hasebe,Tuta,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,82,1:5,Noussair Mazraoui,Benjamin Pavard,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,82,1:5,Matthijs de Ligt,Lucas Hernández,substitute_in
Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bayern Munich,83,1:6,Jamal Musiala,Leroy Sané,goal
