,,
,,
league,season,team
Bundesliga,2223,Augsburg
Bundesliga,2223,Bayern Munich
Bundesliga,2223,Bochum
Bundesliga,2223,Dortmund
Bundesliga,2223,Eint Frankfurt
Bundesliga,2223,Freiburg
Bundesliga,2223,Hertha BSC
Bundesliga,2223,Hoffenheim
Bundesliga,2223,Köln
Bundesliga,2223,Leverkusen
Bundesliga,2223,M'Gladbach
Bundesliga,2223,Mainz 05
Bundesliga,2223,RB Leipzig
Bundesliga,2223,Schalke 04
Bundesliga,2223,Stuttgart
Bundesliga,2223,Union Berlin
Bundesliga,2223,Werder Bremen
Bundesliga,2223,Wolfsburg
FIFA World Cup,2223,Argentina
FIFA World Cup,2223,Australia
FIFA World Cup,2223,Belgium
FIFA World Cup,2223,Brazil
FIFA World Cup,2223,Cameroon
FIFA World Cup,2223,Canada
FIFA World Cup,2223,Costa Rica
FIFA World Cup,2223,Croatia
FIFA World Cup,2223,Denmark
FIFA World Cup,2223,Ecuador
FIFA World Cup,2223,England
FIFA World Cup,2223,France
FIFA World Cup,2223,Germany
FIFA World Cup,2223,Ghana
FIFA World Cup,2223,IR Iran
FIFA World Cup,2223,Japan
FIFA World Cup,2223,Korea Republic
FIFA World Cup,2223,Mexico
FIFA World Cup,2223,Morocco
FIFA World Cup,2223,Netherlands
FIFA World Cup,2223,Poland
FIFA World Cup,2223,Portugal
FIFA World Cup,2223,Qatar
FIFA World Cup,2223,Saudi Arabia
FIFA World Cup,2223,Senegal
FIFA World Cup,2223,Serbia
FIFA World Cup,2223,Spain
FIFA World Cup,2223,Switzerland
FIFA World Cup,2223,Tunisia
FIFA World Cup,2223,United States
FIFA World Cup,2223,Uruguay
FIFA World Cup,2223,Wales
La Liga,2223,Almería
La Liga,2223,Athletic Club
La Liga,2223,Atlético Madrid
La Liga,2223,Barcelona
La Liga,2223,Betis
La Liga,2223,Celta Vigo
La Liga,2223,Cádiz
La Liga,2223,Elche
La Liga,2223,Espanyol
La Liga,2223,Getafe
La Liga,2223,Girona
La Liga,2223,Mallorca
La Liga,2223,Osasuna
La Liga,2223,Rayo Vallecano
La Liga,2223,Real Madrid
La Liga,2223,Real Sociedad
La Liga,2223,Sevilla
La Liga,2223,Valencia
La Liga,2223,Valladolid
La Liga,2223,Villarreal
Ligue 1,2223,Ajaccio
Ligue 1,2223,Angers
Ligue 1,2223,Auxerre
Ligue 1,2223,Brest
Ligue 1,2223,Clermont Foot
Ligue 1,2223,Lens
Ligue 1,2223,Lille
Ligue 1,2223,Lorient
Ligue 1,2223,Lyon
Ligue 1,2223,Marseille
Ligue 1,2223,Monaco
Ligue 1,2223,Montpellier
Ligue 1,2223,Nantes
Ligue 1,2223,Nice
Ligue 1,2223,Paris S-G
Ligue 1,2223,Reims
Ligue 1,2223,Rennes
Ligue 1,2223,Strasbourg
Ligue 1,2223,Toulouse
Ligue 1,2223,Troyes
Premier League,2223,Arsenal
Premier League,2223,Aston Villa
Premier League,2223,Bournemouth
Premier League,2223,Brentford
Premier League,2223,Brighton
Premier League,2223,Chelsea
Premier League,2223,Crystal Palace
Premier League,2223,Everton
Premier League,2223,Fulham
Premier League,2223,Leeds United
Premier League,2223,Leicester City
Premier League,2223,Liverpool
Premier League,2223,Manchester City
Premier League,2223,Manchester Utd
Premier League,2223,Newcastle Utd
Premier League,2223,Nott'ham Forest
Premier League,2223,Southampton
Premier League,2223,Tottenham
Premier League,2223,West Ham
Premier League,2223,Wolves
Serie A,2223,Atalanta
Serie A,2223,Bologna
Serie A,2223,Cremonese
Serie A,2223,Empoli
Serie A,2223,Fiorentina
Serie A,2223,Hellas Verona
Serie A,2223,Inter
Serie A,2223,Juventus
Serie A,2223,Lazio
Serie A,2223,Lecce
Serie A,2223,Milan
Serie A,2223,Monza
Serie A,2223,Napoli
Serie A,2223,Roma
Serie A,2223,Salernitana
Serie A,2223,Sampdoria
Serie A,2223,Sassuolo
Serie A,2223,Spezia
Serie A,2223,Torino
Serie A,2223,Udinese
UEFA Champions League,2223,Ajax
UEFA Champions League,2223,Atlético Madrid
UEFA Champions League,2223,Barcelona
UEFA Champions League,2223,Bayern Munich
UEFA Champions League,2223,Benfica
UEFA Champions League,2223,Celtic
UEFA Champions League,2223,Chelsea
UEFA Champions League,2223,Club Brugge
UEFA Champions League,2223,Dinamo Zagreb
UEFA Champions League,2223,Dortmund
UEFA Champions League,2223,Eint Frankfurt
UEFA Champions League,2223,FC Copenhagen
UEFA Champions League,2223,Inter
UEFA Champions League,2223,Juventus
UEFA Champions League,2223,Leverkusen
UEFA Champions League,2223,Liverpool
UEFA Champions League,2223,Maccabi Haifa
UEFA Champions League,2223,Manchester City
UEFA Champions League,2223,Marseille
UEFA Champions League,2223,Milan
UEFA Champions League,2223,Napoli
UEFA Champions League,2223,Paris S-G
UEFA Champions League,2223,Porto
UEFA Champions League,2223,RB Leipzig
UEFA Champions League,2223,RB Salzburg
UEFA Champions League,2223,Rangers
UEFA Champions League,2223,Real Madrid
UEFA Champions League,2223,Sevilla
UEFA Champions League,2223,Shakhtar
UEFA Champions League,2223,Sporting CP
UEFA Champions League,2223,Tottenham
UEFA Champions League,2223,Viktoria Plzeň
